701349888,701358079,Morocco
701358080,701366271,Sierra Leone
701366272,701374463,Nigeria
701374464,701382655,Kenya
701382656,701390847,Ivory Coast
701390848,701399039,Gabon
701399040,701407231,Egypt
701407232,701415423,South Africa
701415424,701423615,South Africa
701423616,701431807,Nigeria
701431808,701439999,Ivory Coast
701440000,701448191,Madagascar
701448192,701456383,Kenya
701456384,701464575,Kenya
701464576,701472767,Mauritius
701472768,701480959,Togo
701480960,701489151,Ivory Coast
701489152,701497343,South Africa
701497344,701513727,South Africa
701513728,701530111,Libya
701530112,701546495,Senegal
701546496,701562879,South Africa
701562880,701579263,Kenya
701579264,701595647,Sudan
701595648,701612031,Algeria
701612032,701628415,Egypt
701628416,701644799,Ghana
701644800,701661183,Algeria
701661184,701677567,Uganda
701677568,701693951,Angola
701693952,701702143,Ghana
701702144,701710335,Swaziland
701710336,701718527,Mauritius
701718528,701726719,Cameroon
701726720,701743103,Gabon
701743104,701759487,Nigeria
701759488,701792255,Kenya
701792256,701825023,Mauritius
701825024,701857791,South Africa
701857792,701890559,Reunion
701890560,701923327,Senegal
701923328,701956095,Morocco
701956096,701988863,Kenya
702251008,702267391,Nigeria
702267392,702283775,Nigeria
702283776,702287871,Uganda
702287872,702291967,Zimbabwe
702291968,702296063,Mozambique
702296064,702300159,Ghana
702300160,702304255,Nigeria
702304256,702308351,Sierra Leone
702308352,702312447,Seychelles
702312448,702316543,Kenya
702316544,702320639,Tanzania
702320640,702324735,Algeria
702324736,702328831,Mozambique
702328832,702332927,Tanzania
702332928,702337023,Mozambique
702337024,702341119,Uganda
702341120,702345215,Kenya
702345216,702349311,Tanzania
702349312,702353407,South Africa
702353408,702357503,Algeria
702357504,702361599,Tanzania
702361600,702365695,Tanzania
702365696,702369791,Mozambique
702369792,702373887,Uganda
702373888,702377983,Malawi
702377984,702382079,Nigeria
702382080,702386175,Egypt
702386176,702390271,Zimbabwe
702390272,702394367,Nigeria
702394368,702398463,Mali
702398464,702402559,Cape Verde
702402560,702406655,Ghana
702406656,702410751,South Africa
702410752,702414847,Angola
702414848,702416895,Uganda
702416896,702418943,Kenya
702418944,702420991,Zambia
702420992,702423039,Tanzania
702423040,702425087,South Africa
702425088,702427135,Nigeria
702427136,702429183,South Africa
702429184,702431231,Tanzania
702431232,702433279,Nigeria
702433280,702435327,Nigeria
702435328,702437375,Mozambique
702437376,702439423,Tanzania
702439424,702441471,Mauritius
702441472,702443519,South Africa
702443520,702445567,Equatorial Guinea
702445568,702447615,Kenya
702447616,702449663,Egypt
702449664,702451711,South Africa
702451712,702453759,Nigeria
702453760,702455807,Tanzania
702455808,702457855,Kenya
702461952,702463999,Malawi
702464000,702465023,Benin
702465024,702466047,Democratic Congo
702466048,702467071,Zambia
702467072,702468095,Seychelles
702468096,702469119,Nigeria
702469120,702470143,South Africa
702470144,702471167,Democratic Congo
702471168,702472191,South Africa
702472192,702473215,South Africa
702473216,702474239,South Africa
702474240,702475263,Ghana
702475264,702476287,Angola
702476288,702477311,Zambia
702477312,702478335,Rwanda
702478336,702480383,Angola
702480384,702481407,Angola
702481408,702482431,Tanzania
702482432,702483455,South Africa
702483456,702484479,Botswana
702484480,702485503,Tanzania
702485504,702486527,Egypt
702486528,702487551,Nigeria
702487552,702488575,Cameroon
702488576,702489599,South Africa
702489600,702490623,South Africa
702490624,702491647,Angola
702492672,702493695,Kenya
702493696,702494719,Egypt
702494720,702495743,Kenya
702495744,702496767,South Africa
702496768,702497791,Nigeria
702497792,702498815,South Africa
702498816,702499839,Botswana
702499840,702500863,Mauritius
702500864,702501887,Namibia
702501888,702502911,Uganda
702502912,702503935,Sierra Leone
702503936,702504959,Gabon
702504960,702505983,Gabon
702505984,702507007,Angola
702507008,702508031,Democratic Congo
702508032,702509055,Kenya
702509056,702510079,South Africa
702510080,702511103,Zambia
702511104,702512127,South Africa
702512128,702513151,Mozambique
702513152,702514175,Nigeria
702514176,702515199,Sierra Leone
702515200,702516223,Nigeria
702516224,702517247,Botswana
702517248,702518271,Nigeria
702518272,702519295,Kenya
702519296,702520319,Mozambique
702520320,702521343,Angola
702521344,702522367,Sudan
702522368,702523391,Angola
702523392,702524415,Nigeria
702524416,702525439,South Africa
702525440,702526463,Algeria
702526464,702527487,Tanzania
702527488,702528511,Central African
702528512,702529535,Congo
702529536,702530559,Nigeria
702530560,702531583,Egypt
702531584,702532607,Sudan
702532608,702533631,Seychelles
702533632,702534655,Ivory Coast
702534656,702535679,Gambia
702535680,702536703,Seychelles
702536704,702537727,Mauritius
702537728,702538751,Rwanda
702538752,702539775,Tanzania
702539776,702540799,Burkina Faso
702540800,702541823,South Africa
702541824,702542847,Egypt
702542848,702543871,South Africa
702543872,702544895,Benin
702544896,702545919,South Africa
702545920,703070207,Tunisia
703070208,703594495,Egypt
703594496,704118783,South Africa
704118784,704380927,Morocco
704380928,704643071,Libya
738197504,754974719,United States
754974720,771751935,United States
788529152,805306367,Canada
805306368,822083583,United States
855638016,872415231,United Kingdom
872415232,889192447,United States
889192448,905969663,Germany
905969664,922746879,United States
922746880,939524095,United States
939524096,956301311,United States
956301312,973078527,France
973078528,973209599,Japan
973209600,973275135,India
973275136,973307903,Japan
973307904,973340671,Japan
973340672,973471743,Japan
973471744,973504511,Australia
973504512,973537279,Australia
973537280,973602815,Australia
973602816,973733887,Thailand
973733888,973864959,Thailand
973864960,973996031,Japan
973996032,974127103,China
974127104,974192639,China
974192640,974225407,China
974225408,974258175,China
974258176,974323711,China
974323712,974389247,China
974389248,974454783,China
974454784,974520319,China
974520320,974651391,China
974651392,974782463,China
974782464,974847999,Malaysia
974848000,974880767,Malaysia
974880768,974913535,Pakistan
974913536,974979071,New Zealand
974979072,975044607,South Korea
975044608,975175679,China
975175680,975699967,China
975699968,975831039,China
975831040,975896575,China
975896576,975962111,China
975962112,976224255,China
976224256,976748543,China
976748544,976879615,China
976879616,976945151,China
976945152,976977919,China
976977920,977010687,China
977010688,977272831,China
977272832,977305599,Thailand
977305600,977338367,Hong Kong
977338368,977346559,Singapore
977346560,977354751,Japan
977354752,977371135,South Korea
977371136,977379327,Pakistan
977379328,977387519,Pakistan
977387520,977395711,Pakistan
977395712,977397759,Bangladesh
977397760,977399807,Hong Kong
977399808,977401855,Indonesia
977401856,977403903,Australia
977403904,977534975,China
977534976,977567743,India
977567744,977600511,China
977600512,977666047,Philippines
977666048,977731583,Japan
977731584,977764351,Philippines
977764352,977797119,Malaysia
977797120,978321407,South Korea
978321408,978452479,Japan
978452480,978583551,China
978583552,978599935,Japan
978599936,978616319,Australia
978616320,978632703,Australia
978632704,978636799,Australia
978636800,978638847,Australia
978640896,978644991,New Zealand
978649088,978714623,Japan
978714624,978780159,Taiwan
978780160,978784255,Australia
978784256,978788351,Japan
978788352,978796543,South Korea
978796544,978812927,China
978812928,978845695,Japan
978845696,978976767,Japan
978976768,979107839,Japan
979107840,979369983,Japan
979369984,979402751,Australia
979402752,979410943,Australia
979435520,979468287,Thailand
979501056,979566591,Japan
979566592,979582975,Taiwan
979582976,979599359,Taiwan
979599360,979632127,China
979632128,979763199,China
979763200,979894271,South Korea
979894272,980025343,Australia
980025344,980090879,Australia
980090880,980156415,Australia
980156416,980287487,Australia
980287488,980353023,Australia
980353024,980418559,Australia
980418560,980549631,Japan
980549632,980680703,Taiwan
980680704,980942847,China
980942848,981467135,South Korea
981467136,981991423,China
981991424,982056959,Thailand
982056960,982122495,Thailand
982122496,982155263,Japan
982155264,982171647,Japan
982171648,982188031,South Korea
982188032,982253567,Malaysia
982253568,982515711,South Korea
982515712,982581247,China
982581248,982614015,South Korea
982614016,982622207,Australia
982622208,982624255,Japan
982624256,982626303,Indonesia
982626304,982628351,Bangladesh
982628352,982630399,Bangladesh
982630400,982646783,Singapore
982646784,982663167,Japan
982663168,982671359,Japan
982671360,982679551,India
982679552,982695935,Singapore
982695936,982712319,South Korea
982712320,982745087,Thailand
982745088,982753279,Afghanistan
982753280,982755327,Japan
982755328,982757375,Bangladesh
982757376,982759423,Bangladesh
982759424,982761471,Indonesia
982761472,982769663,Japan
982769664,982777855,Japan
982777856,983039999,South Korea
983040000,983171071,Hong Kong
983171072,983302143,China
983302144,983433215,Japan
983433216,983564287,Japan
983564288,984088575,Australia
984088576,984350719,Australia
984350720,984612863,Australia
984612864,984743935,Hong Kong
984743936,984809471,Australia
984809472,984875007,Australia
984875008,984940543,South Korea
984940544,984956927,South Korea
984956928,984965119,Australia
984965120,984969215,Pakistan
984973312,985006079,Thailand
985006080,985071615,Singapore
985071616,985104383,Japan
985104384,985137151,Japan
985137152,985202687,South Korea
985202688,985235455,Singapore
985235456,985268223,Singapore
985268224,985399295,Viet Nam
985399296,985661439,Japan
985661440,985792511,China
985792512,985923583,China
985923584,986054655,China
986054656,986185727,China
986185728,986710015,China
986710016,987758591,China
987758592,988807167,South Korea
988807168,988938239,China
988938240,989069311,China
989069312,989200383,China
989200384,989331455,China
989331456,989855743,China
989855744,991952895,South Korea
991952896,992477183,China
992477184,992608255,China
992608256,992673791,China
992673792,992739327,China
992739328,993001471,China
993001472,993067007,China
993067008,993099775,China
993099776,993132543,China
993132544,993198079,China
993198080,993230847,China
993230848,993263615,China
993263616,993525759,China
993525760,993787903,China
993787904,993918975,China
993918976,994050047,China
994050048,994312191,China
994312192,994574335,China
994574336,994705407,China
994705408,994836479,China
994836480,994902015,China
994902016,994967551,China
994967552,995098623,China
995098624,995360767,China
995360768,995491839,Japan
995491840,995524607,Japan
995524608,995532799,Japan
995532800,995540991,Australia
995540992,995557375,South Korea
995557376,995622911,Japan
995622912,996147199,India
996147200,996409343,India
996409344,996540415,Australia
996540416,996573183,Australia
996605952,996671487,Pakistan
996671488,996802559,Taiwan
996802560,996868095,Japan
996868096,996900863,China
996900864,996933631,China
996933632,997064703,China
997064704,997195775,China
997195776,997720063,Taiwan
997720064,997982207,Taiwan
997982208,998244351,Taiwan
998244352,999292927,Japan
999292928,999423999,India
999424000,999489535,Japan
999489536,999555071,Japan
999555072,999686143,Hong Kong
999686144,999751679,South Korea
999751680,999784447,China
999784448,999800831,Japan
999800832,999817215,South Korea
999817216,999849983,Bangladesh
999849984,999866367,South Korea
999866368,999874559,Hong Kong
999874560,999882751,Hong Kong
999882752,999948287,Japan
999948288,1000013823,Australia
1000013824,1000079359,China
1000079360,1000210431,Japan
1000210432,1000341503,Japan
1000341504,1000603647,India
1000603648,1000734719,India
1000734720,1000800255,Japan
1000800256,1000833023,Australia
1000833024,1000865791,Australia
1000865792,1001127935,Japan
1001127936,1001259007,China
1001259008,1001390079,China
1001390080,1001914367,India
1001914368,1002045439,India
1002045440,1002176511,South Korea
1002176512,1002242047,Hong Kong
1002242048,1002307583,Singapore
1002307584,1002373119,Japan
1002373120,1002405887,China
1002405888,1002422271,Japan
1002422272,1002430463,Australia
1002430464,1002432511,Australia
1002434560,1002438655,China
1002438656,1006632959,China
1006632960,1007157247,China
1007157248,1007288319,China
1007288320,1007353855,China
1007353856,1007419391,China
1007419392,1007484927,China
1007484928,1007501311,China
1007501312,1007517695,China
1007517696,1007550463,China
1007550464,1007681535,China
1007681536,1008205823,China
1008205824,1008467967,China
1008467968,1008599039,China
1008599040,1008664575,China
1008664576,1008730111,China
